滑坡隐患点 48197
104.1194 30.3644 5101220036S
105.3919 27.8083 5105240023S
105.2875 27.8764 5105240034S
104.4997 31.2939 5106260005S
104.6781 31.3547 5107030006S
105.655 32.37 5108110010S
105.7553 30.3714 5109030003S
105.7519 30.3697 5109030012S
105.6981 30.515 5109030020S
105.53 30.6253 5109030025S
109.4511 33.7878 6110260034S
109.5453 33.7194 6110260035S
110.222 37.6208 6108264350S
103.2553 27.8069 5134300017S
103.2061 27.7706 5134300018S
103.1678 27.8233 5134300026S
103.3231 27.8158 5134300037S
103.0531 27.6547 5134300058S
103.1164 27.4953 5134300076S
103.11 28.3106 5134360010S
103.1108 28.315 5134360016S
102.9517 28.39 5134360022S
102.9489 28.3389 5134360050S
102.9928 28.275 5134360101S
102.0628 31.1794 5132260042S
103.2972 32.0017 5132280031S
102.0639 31.5519 5132290024S
101.6725 31.8803 5132290033S
101.8958 32.2519 5132290069S
101.7175 32.1578 5132290073S
101.185 30.9456 5133260019S
100.6342 31.3942 5133270003S
100.3747 30.9228 5133290011S
99.1375 31.5508 5133310002S
102.6339 26.5158 5134260001S
102.4258 26.3589 5134260031S
102.5569 26.4289 5134260042S
102.6289 26.3519 5134260057S
100.2933 30.9086 5133290018S
99.28 28.545 5133380011S
102.6269 26.4378 5134260019S
102.7478 26.8889 5134260022S
104.5295 27.1242 5224280015S
105.2019 25.4064 5223220005S
105.9514 25.8572 5223230003S
106.9964 33.5919 6107290055S
106.9097 33.7594 6107290057S
106.9325 33.7456 6107290068S
106.9283 33.7514 6107290103S
106.9906 33.7472 6107290123S
107.0236 33.6936 6107290127S
106.9225 33.6317 6107290023S
104.2153 30.4111 5101220028S
104.76 29.3525 5103020003S
105.4675 28.1711 5105240006S
104.4708 30.9519 5106810014S
104.5195 31.4742 5107030004S
105.0222 31.3986 5107040001S
105.7561 30.37 5109030010S
105.3 30.65 5109230005S
105.26 30.46 5109230011S
104.3011 30.5178 5101120002S
104.2575 30.5072 5101120034S
104.3531 30.5506 5101120050S
104.3856 30.6214 5101120046S
104.7325 29.3558 5103030001S
105.4694 28.7686 5105030007S
105.3442 28.0892 5105240017S
104.5872 31.2744 5106260008S
104.6042 31.3047 5106260018S
104.4708 30.9758 5106810004S
105.7044 32.0419 5108110002S
105.552 30.6147 5109030026S
105.4736 30.5961 5109030035S
109.62 38.7694 6108230001S
109.5564 38.7528 6108230002S
109.6453 38.8028 6108230004S
109.6039 38.7194 6108230005S
104.2614 30.5214 5101120021S
109.5392 33.7081 6110260036S
109.5214 33.5933 6110260037S
109.3289 33.6342 6110260038S
109.5392 33.5953 6110260039S
104.3989 30.6186 5101120282S
109.51 33.6531 6110260040S
104.0558 30.3314 5101220024S
105.5681 28.1056 5105240001S
105.3464 27.8819 5105240012S
109.5453 33.7194 6110260033S
105.7556 30.3719 5109030004S
105.7561 30.3725 5109030006S
105.5283 30.4578 5109030014S
105.5581 30.6053 5109030035S
105.21 30.65 5109230016S
104.2714 30.5108 5101120009S
109.5022 33.6244 6110260041S
109.0297 33.8019 6110260042S
109.0731 33.7269 6110260043S
108.8686 33.7964 6110260044S
108.9331 33.6881 6110260045S
109.2561 33.5919 6110260046S
108.9203 33.6583 6110260047S
108.9178 33.6564 6110260048S
108.1672 34.7714 6104260003S
108.0392 34.835 6104260004S
108.0392 34.835 6104260005S
102.7058 26.8689 5134260024S
102.6728 26.3569 5134260062S
102.5608 26.6139 5134260075S
103.2564 27.7072 5134300001S
103.2597 27.6836 5134300006S
103.2483 27.8128 5134300015S
103.1131 27.8278 5134300020S
103.3083 27.8161 5134300036S
103.1089 28.1394 5134360032S
102.9731 28.4192 5134360043S
103.1792 28.4192 5134360055S
109.3808 36.9481 6106240043S
109.3156 37.005 6106240044S
109.2236 36.9914 6106240007S
109.3533 36.9964 6106240015S
109.3464 36.9969 6106240012S
109.2731 37.0667 6106240035S
109.2422 37.2428 6106240041S
109.1006 36.8436 6106240009S
109.1136 36.8769 6106240016S
109.3914 36.7306 6106240055S
109.3589 36.7394 6106240022S
109.3075 32.0864 6109260274S
109.2422 32.1272 6109260265S
109.4286 32.4614 6109260194S
103.4972 30.1608 5101310036S
88.9361 48.0889 6543231000S
102.9569 28.2889 5134360103S
102.3264 31.8722 5132290007S
102.2419 32.1828 5132290062S
100.9842 32.2619 5132300004S
105.23 30.2144 5109040003S
105.4569 30.4211 5109040012S
106.4033 31.0378 5113230014S
103.5317 30.0092 5114240001S
104.022 30.3661 5101220023S
105.005 29.2344 5103220014S
104.6964 31.2531 5106260009S
105.4697 30.6214 5109030022S
105.39 30.6 5109230006S
105.17 30.69 5109230014S
103.8539 29.7069 5111020005S
103.6286 29.2656 5111110006S
106.4222 31.0553 5113230015S
103.58 29.9064 5114240007S
107.1178 33.7447 6107290156S
107.2192 33.745 6107290162S
107.0589 33.7306 6107290132S
107.0689 33.7969 6107290148S
106.6708 33.5306 6107290091S
106.8619 33.7692 6107290106S
106.9997 33.7447 6107290125S
107.052 33.7286 6107290130S
107.0972 33.8161 6107290143S
107.205 33.7164 6107290151S
107.1036 33.7394 6107290160S
107.1006 33.74 6107290161S
108.2283 34.895 6104260006S
113.7536 27.9383 3603220058S
113.7686 27.9386 3603220059S
113.8139 27.9394 3603220060S
113.7564 27.9381 3603220061S
113.765 27.9381 3603220062S
110.1639 37.5592 6108263245S
113.7547 27.9372 3603220063S
105.46 30.3503 5109040014S
105.26 30.61 5109230001S
105.35 30.62 5109230007S
103.7167 29.4878 5111020001S
103.7156 29.4903 5111020002S
105.7389 31.0142 5113250012S
105.7467 31.0097 5113250013S
105.6744 30.9811 5113250021S
105.8833 30.985 5113250042S
105.7447 31.1619 5113250049S
110.5697 33.8183 6110220138S
110.5083 33.8442 6110220139S
110.4414 33.8308 6110220140S
106.8972 33.6458 6107290087S
106.9386 33.7464 6107290105S
106.9497 33.7231 6107290110S
107.0469 33.7114 6107290128S
107.052 33.7106 6107290133S
104.3528 30.6147 5101120273S
107.0786 33.7117 6107290139S
103.9806 30.3278 5101220001S
113.9239 27.9406 3603220064S
113.9264 27.9403 3603220065S
103.0997 34.1261 5132320003S
98.3944 32.0489 5133300004S
99.82 29.8314 5133340003S
99.552 29.28 5133360004S
99.7969 28.9828 5133360015S
99.7953 28.9822 5133360016S
102.6469 26.5528 5134260002S
102.5681 27.4444 5134280009S
103.4261 27.77 5134300032S
103.1567 27.5753 5134300041S
103.0558 28.5528 5134360021S
103.1481 28.115 5134360073S
99.695 31.5744 5133280001S
103.1153 28.4575 5134360085S
103.0958 28.5656 5134360111S
103.405 28.11 5134370040S
104.6489 28.8342 5115020005S
104.83 28.6386 5115020054S
105.1764 28.5403 5115230011S
104.5719 28.1319 5115270006S
103.0592 29.885 5118020004S
102.7992 30.1183 5118250004S
103.0925 30.4636 5118260005S
102.9814 30.2128 5118260025S
103.012 28.1539 5134360058S
103.1278 28.4156 5134360069S
103.1183 28.4231 5134360072S
102.5642 27.3903 5134280001S
102.6342 27.5575 5134280017S
103.2756 27.7406 5134300004S
106.9306 33.6108 6107290003S
107.0444 33.7206 6107290011S
107.0553 33.7319 6107290015S
106.9972 33.6222 6107290016S
106.9775 33.3472 6107290020S
106.9775 33.3472 6107290020S
106.9256 33.5156 6107290070S
106.9956 33.5053 6107290071S
106.9911 33.4669 6107290072S
106.89 33.64 6107290077S
106.9306 33.6117 6107290084S
106.9339 33.7472 6107290102S
106.9736 33.7553 6107290108S
107.0569 33.7411 6107290131S
106.9942 33.6458 6107290134S
107.0883 33.8056 6107290146S
104.3539 30.6119 5101120274S
102.9272 30.0967 5101210083S
103.9781 30.3267 5101220002S
104.1389 30.4597 5101220008S
104.2039 30.3836 5101220016S
104.2689 30.5242 5101120006S
104.3425 30.6217 5101120039S
104.33 30.5272 5101120255S
104.3903 30.5875 5101120284S
105.3011 28.7208 5105030006S
105.3531 28.7575 5105030013S
105.4147 28.1533 5105240002S
103.4881 30.11 5114240029S
104.8 28.1558 5115020002S
105.1703 28.3375 5115280014S
104.0378 30.4267 5101220040S
107.0156 33.6797 6107290145S
105.29 27.7194 5105240026S
104.4994 31.2939 5106260006S
104.2781 30.5053 5101120030S
107.0761 33.7967 6107290147S
107.1242 33.7478 6107290154S
109.105 33.6892 6110260049S
109.1475 33.6267 6110260050S
109.5561 33.4811 6110260051S
109.5561 33.4811 6110260052S
109.5606 33.4558 6110260053S
109.3511 33.5936 6110260054S
109.3556 33.6103 6110260055S
109.4994 33.5794 6110260056S
109.4511 33.6397 6110260057S
109.4544 33.4689 6110260058S
109.4283 30.5033 6110260059S
109.5172 33.6761 6110260060S
109.4283 33.5033 6110260061S
109.4283 33.5033 6110260062S
109.325 33.8233 6110260063S
109.325 33.8233 6110260064S
109.2944 30.6186 6110260065S
109.1058 33.8247 6110260066S
109.3331 33.5494 6110260067S
109.3425 33.5067 6110260068S
109.4742 33.4892 6110260069S
109.4839 33.5578 6110260070S
109.4936 33.5339 6110260071S
109.5603 33.6839 6110260072S
108.2161 37.1514 6108250001S
107.6172 37.0908 6108250002S
109.1622 37.3539 6108240039S
109.1319 37.3517 6108240003S
108.6497 37.2797 6108240004S
109.6581 37.5667 6108310001S
109.8894 37.6 6108310002S
109.9992 37.5831 6108310003S
109.7545 37.5969 6108310004S
109.7233 37.4619 6108310005S
110.0175 37.6094 6108310006S
110.1147 37.0842 6108300001S
105.3731 28.7722 5105030005S
105.2714 28.1189 5105240036S
104.5225 31.2986 5106260007S
104.6944 31.5964 5107030003S
105.8778 32.0889 5108110001S
104.2606 30.5061 5101120013S
104.2786 30.5075 5101120029S
106.9997 33.7447 6107290013S
107.0028 33.6311 6107290017S
104.2111 30.3878 5101220018S
106.9744 33.3419 6107290019S
105.3319 28.0328 5105240014S
104.4953 31.2808 5106260012S
104.2528 30.5022 5101120018S
104.3325 30.5894 5101120035S
105.0567 28.29 5115280002S
107.4231 31.3517 5117020009S
107.4128 31.3478 5117020020S
107.5181 31.3075 5117020058S
119.5074 25.9821 3501821003S
119.5034 25.9528 3501821004S
105.9439 32.735 5108120004S
105.7147 30.6258 5109030018S
119.4866 25.9561 3501821001S
106.9964 33.5919 6107290056S
106.9097 33.7594 6107290059S
106.9703 33.5483 6107290065S
104.0886 30.3239 5101220045S
105.3608 28.0903 5105240016S
105.3364 28.4467 5105240021S
104.5022 31.3489 5106260011S
105.8461 32.6092 5108120001S
105.7214 30.6036 5109030016S
105.515 30.6258 5109030021S
105.6381 30.4403 5109030028S
105.23 30.2144 5109040003S
105.4506 30.4981 5109040010S
105.4569 30.4211 5109040011S
103.7108 29.6639 5111020010S
103.5697 29.4106 5111110009S
103.0208 29.2975 5111130007S
103.5039 29.7467 5111260004S
106.8928 33.6419 6107290080S
104.28 30.5292 5101120025S
104.3089 30.5306 5101120250S
109.4908 33.6908 6110260073S
109.5678 33.4514 6110260074S
109.4806 33.4864 6110260075S
109.4136 33.6811 6110260076S
109.4297 33.6619 6110260077S
109.3028 33.6978 6110260078S
109.3014 33.5853 6110260079S
104.3217 30.5244 5101120254S
104.3122 30.5475 5101120271S
104.1233 30.465 5101220007S
104.78 29.3625 5103020001S
107.1247 33.7464 6107290155S
106.9495 33.3647 6107290027S
106.9239 33.29 6107290028S
107.1392 33.7131 6107290035S
107.0278 33.4397 6107290049S
106.9381 33.5322 6107290062S
106.9097 33.7594 6107290063S
104.3286 30.5556 5101120290S
104.1939 30.5289 5101220014S
104.215 30.3828 5101220017S
104.1356 30.3511 5101220043S
105.3533 28.6147 5105030002S
106.8925 33.4989 6107290066S
105.3889 28.6636 5105030011S
104.4753 31.3039 5106260002S
104.4753 31.3039 5106260016S
105.7408 32.2939 5108110005S
104.3764 30.5508 5101120005S
104.365 30.5647 5101120049S
104.3633 30.5872 5101120044S
106.9381 33.3747 6107290026S
106.9817 33.3492 6107290036S
106.9786 33.4286 6107290041S
106.9878 33.3758 6107290048S
106.8797 33.7456 6107290050S
106.9131 33.6075 6107290085S
106.9103 33.6303 6107290086S
107.1431 33.7442 6107290159S
106.9133 33.6142 6107260022S
106.7989 37.6569 6107290090S
104.4475 30.64 5101120277S
106.8289 33.6778 6107290100S
106.9095 33.7592 6107290104S
104.2225 30.4197 5101220030S
106.942 33.7431 6107290115S
105.1231 29.1853 5103220018S
105.7539 30.3725 5109030007S
105.4919 30.5886 5109030031S
105.4508 30.5006 5109040007S
105.4097 30.61 5109230009S
105.13 30.61 5109230012S
105.19 30.71 5109230018S
109.5181 33.6092 6110260081S
109.1597 33.5872 6110260082S
108.9197 33.6597 6110260083S
104.2478 30.4778 5101120023S
104.2858 30.4981 5101120033S
104.3417 30.6189 5101120038S
104.3614 30.68 5101120092S
109.1014 33.6828 6110260084S
104.1917 30.3522 5101220037S
105.3647 28.5219 5105030012S
105.6503 27.7342 5105240028S
104.4769 30.9769 5106810005S
104.7206 31.2953 5107030007S
105.9589 32.0428 5108110006S
105.9589 32.3208 5108110007S
105.24 30.32 5109040002S
105.25 30.59 5109230002S
103.1208 29.3133 5111130003S
103.2125 29.2408 5111130004S
104.2728 30.505 5101120008S
104.2883 30.5131 5101120011S
104.3747 30.575 5101120043S
104.3858 30.6217 5101120045S
104.3525 30.5503 5101120048S
105.4867 27.7806 5105240027S
105.6595 27.8031 5105240032S
105.32 28.0275 5105240035S
104.4669 30.9778 5106810002S
105.5415 31.3037 5107230010S
105.8233 32.0264 5108110009S
105.8939 32.2508 5108110011S
105.7569 30.3717 5109030005S
105.5494 30.6233 5109030027S
103.5825 29.8667 5111260002S
106.6422 30.8619 5113230005S
106.9739 33.5528 6107290067S
106.9181 33.6217 6107290082S
106.9183 33.6219 6107290083S
106.8281 33.7567 6107290107S
106.9458 33.735 6107290113S
107.0028 33.7275 6107290117S
106.9744 33.7186 6107290120S
107.005 33.6556 6107290135S
107.0678 33.7211 6107290137S
107.0956 33.8189 6107290141S
107.055 33.755 6107290149S
107.2322 33.7183 6107290152S
105.0878 28.4214 5115230001S
107.4578 31.1958 5117020033S
107.445 31.2867 5117020099S
102.5778 29.7797 5118220004S
102.8028 29.9519 5118250005S
103.0769 30.5333 5118260007S
102.9219 30.1989 5118260037S
102.1372 31.3872 5132260036S
102.8772 32.1233 5132280002S
103.3336 31.9617 5132280029S
103.4164 31.9756 5132280042S
102.8811 30.1583 5118260044S
103.5497 32.3511 5132240004S
103.6606 32.8086 5132240009S
102.0744 31.3967 5132260011S
102.0231 31.4122 5132260015S
103.0867 30.4569 5118260012S
103.5947 32.6147 5132240002S
103.7358 32.2919 5132240011S
109.1003 33.6811 6110260085S
109.1025 33.6842 6110260086S
109.0472 33.8564 6110260087S
109.4136 33.6811 6110260088S
109.5061 33.5975 6110260089S
109.0819 33.145 6110260090S
108.9 32.3139 6109250016S
104.4328 30.6719 5101120276S
104.1958 30.3594 5101220013S
104.0469 30.4167 5101220041S
108.9047 32.2961 6109250005S
104.7678 29.2058 5103110005S
105.4414 28.6394 5105030001S
104.2736 30.4944 5101120019S
104.2989 30.525 5101120028S
108.8081 32.2169 6109250008S
108.7269 32.2436 6109250009S
108.7308 32.4056 6109250011S
108.7695 32.4919 6109250015S
108.8053 32.2197 6109250007S
110.1192 34.8403 6105230001S
110.1 34.1 6105230006S
109.5372 33.7069 6110260080S
104.2869 30.5417 5101120306S
105.4267 28.0322 5105240015S
105.5 28.51 5105240030S
104.4728 30.9758 5106810007S
105.508 31.105 5107230011S
102.9972 30.3764 5108220030S
104.2972 30.6617 5101120001S
104.2936 30.5353 5101120026S
105.7108 31.2203 5113250028S
105.7661 31.1942 5113250034S
103.2778 30.0325 5114240015S
104.8461 28.5697 5115020053S
105.4125 28.7278 5105030009S
105.3633 28.44 5105240020S
104.5025 31.2908 5106260004S
104.4939 30.9419 5106810003S
104.595 31.4831 5107030002S
104.9319 31.4314 5107040007S
105.5153 30.4717 5109030013S
105.7214 30.6036 5109030016S
104.3614 30.68 5101120093S
104.3036 30.53 5101120272S
104.135 30.2475 5101220010S
104.2206 30.3994 5101220029S
104.2056 30.4208 5101220042S
104.2633 30.5258 5101120007S
104.3956 30.55 5101120047S
104.3614 30.68 5101120094S
104.3881 30.5919 5101120285S
104.3292 30.5506 5101120249S
104.3261 30.5267 5101120253S
104.2717 30.4956 5101120278S
104.1464 30.4603 5101220009S
104.1422 30.2567 5101220012S
104.4236 30.62 5101120037S
104.3514 30.6033 5101120040S
105.19 30.72 5109230017S
105.25 30.64 5109230021S
103.9664 29.5364 5111110001S
103.1117 28.6394 5134360124S
103.5 28.2278 5134370007S
103.4178 28.2469 5134370025S
103.4708 28.1819 5134370027S
102.735 26.9128 5134260020S
102.5878 26.6258 5134260029S
102.4519 26.5489 5134260040S
102.562 26.6058 5134260074S
103.0367 27.5211 5134300069S
103.1267 27.5022 5134300082S
103.1028 28.3419 5134360003S
103.1267 28.3381 5134360011S
103.1339 28.3375 5134360013S
103.0525 28.5625 5134360017S
103.2639 28.1389 5134360077S
103.222 28.155 5134360078S
103.52 28.2389 5134370008S
103.505 27.9619 5134370048S
103.4678 27.9469 5134370051S
105.7725 31.0997 5113250053S
105.7183 30.9492 5113250066S
102.6267 26.6192 5134260073S
102.6153 27.5783 5134280014S
102.6292 27.6094 5134280018S
103.2453 27.7744 5134300014S
103.4133 27.7622 5134300030S
103.0981 27.4072 5134300066S
103.1394 27.5106 5134300081S
103.1931 28.3558 5134360039S
102.975 28.35 5134360047S
104.3336 30.6792 5101120036S
104.3714 30.59 5101120042S
104.3153 30.5569 5101120280S
105.7633 31.0958 5113250058S
103.46 30.0453 5114240019S
103.4267 30.0994 5114240021S
104.59 28.69 5115020033S
104.5008 28.7639 5115210001S
104.312 28.96 5115210006S
104.122 29.0008 5115210012S
104.2189 28.8878 5115210021S
105.0586 28.7522 5115230020S
104.5672 28.1742 5115270030S
105.2778 28.1531 5115280011S
105.0153 28.1053 5115280018S
107.515 31.3783 5117020003S
111.7461 25.0347 4311290091S
111.8317 24.9964 4311290090S
107.4614 31.3433 5117020073S
111.7839 24.9864 4311290097S
111.792 25.0539 4311290092S
111.8178 25.0067 4311290088S
106.365 30.9008 5113230010S
105.7978 31.0358 5113250030S
105.9919 31.1675 5113250040S
105.9469 31.1772 5113250044S
105.8681 30.9064 5113250046S
105.9106 31.1394 5113250078S
103.9397 30.2289 5114220003S
103.8753 30.2311 5114220010S
104.8131 28.9156 5115020059S
103.5858 29.2856 5111110003S
106.6669 30.8967 5113230006S
105.8964 31.0367 5113250002S
105.8795 31.0783 5113250015S
105.6928 30.9794 5113250020S
105.7208 32.21 5108110003S
105.6828 30.5308 5109030019S
105.4967 30.5911 5109030033S
105.4503 30.4981 5109040006S
105.27 30.29 5109040015S
105.3628 30.5161 5109230003S
103.7008 29.625 5111020009S
103.5997 29.2697 5111110002S
103.34 29.7789 5111260001S
105.9581 31.0256 5113250009S
105.9558 31.0931 5113250060S
104.0636 30.1358 5114210002S
104.5661 28.7258 5115020021S
104.692 28.7733 5115020039S
104.6378 27.9336 5115270029S
107.5839 31.2892 5117020019S
103.0372 29.2331 5111130008S
103.3339 29.7039 5111260005S
109.3472 36.7828 6106240019S
104.022 30.3753 5101220021S
104.1697 30.3031 5101220025S
104.1731 30.3236 5101220026S
104.2781 30.5508 5101120024S
104.2686 30.5103 5101120031S
103.1681 28.3958 5134360054S
103.0178 28.2008 5134360059S
103.1558 28.7478 5134360089S
103.2828 28.7569 5134360112S
103.3289 28.0628 5134370042S
103.4258 28.0358 5134370057S
109.5144 36.6497 6106020029S
109.4367 36.6233 6106020030S
109.4692 36.5244 6106021002S
109.4978 36.5564 6106021003S
109.6456 36.7067 6106021004S
109.6586 36.7042 6106021005S
109.5783 36.9017 6106021006S
109.5783 36.9017 6106021007S
108.9292 35.9117 6106280001S
109.2589 35.7942 6106280002S
109.4928 36.0747 6106280003S
109.3703 35.9336 6106280004S
108.775 36.085 6106280005S
109.3667 36 6106280006S
109.3667 36 6106280007S
109.345 36.2839 6106270005S
109.1258 36.2206 6106270008S
109.4428 36.3533 6106270001S
109.3542 36.3064 6106270002S
110.0122 35.9603 6106310001S
109.8175 35.6 6106310002S
109.8286 35.7536 6106310003S
109.4206 35.7611 6106290001S
109.4247 35.7592 6106290002S
109.475 35.7717 6106290004S
112.1367 37.655 141122002S 
104.58 28.81 5115020064S
107.4456 31.2892 5117020118S
111.7636 25.0331 4311290095S
111.7883 24.9875 4311290094S
109.8786 34.9106 6105230011S
109.8633 34.9169 6105230012S
109.1528 34.9533 6105230020S
110.1672 34.9106 6105230023S
110.2022 34.9472 6105230026S
110.2142 34.9806 6105230029S
109.7372 34.8736 6105230044S
110.1356 35.4039 6105242410S
110.2625 35.2597 6105242411S
110.1878 35.3 6105242412S
110.3283 35.1714 6105242413S
110.1136 35.2275 6105242416S
110.0081 35.2406 6105242417S
110.2792 35.2533 6105242418S
109.8331 35.0028 6105261001S
109.8614 34.9344 6105261002S
109.8497 35.0842 6105261003S
109.8425 34.9383 6105261004S
109.8847 34.9978 6105261005S
109.8822 35.0247 6105261006S
109.4614 35.0989 6105261007S
109.6328 35.1353 6105261008S
109.8383 35.0139 6105261009S
109.7417 35.23 6105270001S
109.7492 35.2158 6105270002S
109.7183 35.2306 6105270003S
109.5028 35.1764 6105270004S
109.3833 35.2364 6105270005S
104.3814 30.5786 5101120041S
104.1478 30.4739 5101220005S
104.1545 30.4825 5101220006S
104.0214 30.3661 5101220022S
105.8833 30.9933 5113250001S
106.0261 31.0958 5113250006S
105.4106 28.0772 5105240019S
104.3875 31.3914 5106260001S
104.845 31.615 5107040002S
105.5586 31.1331 5107230012S
105.9378 31.0422 5113250036S
105.7814 31.0947 5113250052S
104.8739 28.6933 5115020006S
104.5931 28.7689 5115020013S
104.255 28.8628 5115210022S
105.0414 28.6311 5115230014S
105.0911 28.6394 5115230017S
105.1356 28.6669 5115230019S
104.9844 28.1336 5115280019S
105.1772 28.4494 5115280022S
105.4426 31.1534 5107230013S
105.7572 30.3717 5109030008S
105.7531 30.3714 5109030009S
105.7545 30.3711 5109030011S
105.34 30.33 5109040001S
105.4169 30.5378 5109040005S
105.22 30.27 5109040009S
103.1153 29.2931 5111130005S
103.5058 29.7919 5111260003S
112.1367 37.655 141122003S 
111.9636 37.5461 141122006S 
103.7378 29.3225 5111120001S
103.8025 29.4683 5111120024S
103.7267 29.4867 5111120027S
103.8561 29.3556 5111120030S
103.3814 30.1119 5101310028S
103.4464 30.1172 5101310035S
103.5092 30.1567 5101310037S
103.5175 30.1469 5101310038S
110.4717 37.51 6108265675S
109.1639 32.5411 6109260155S
109.1736 32.5297 6109260150S
109.1636 32.585 6109260147S
109.1817 32.6144 6109260165S
109.0897 32.4281 6109260073S
109.0886 35.0836 6102020001S
109.1114 35.0975 6102020002S
109.1089 35.0961 6102020003S
109.1031 35.0906 6102020004S
109.0878 35.0853 6102020005S
109.0903 35.0858 6102020006S
109.1025 35.0839 6102020007S
109.0983 35.0836 6102020008S
109.0972 35.0978 6102020009S
109.0808 35.0808 6102020010S
109.0794 35.0778 6102020011S
102.5789 27.4131 5134280003S
103.1019 27.7231 5134300028S
103.1383 27.7556 5134300029S
109.3722 35.2619 6105270006S
109.465 35.1622 6105270007S
109.3736 35.2419 6105270008S
109.1442 34.9503 6105280001S
105.4747 28.5739 5105030003S
104.4978 31.2767 5106260019S
105.382 31.2276 5107230005S
105.5561 31.6169 5107230009S
104.2683 30.5169 5101120027S
107.5081 31.34 5117020135S
102.9289 30.2911 5118260040S
103.6361 32.3386 5132240006S
103.7139 32.3239 5132240012S
104.1114 32.72 5132240020S
104.4758 30.9528 5106810009S
104.4769 30.9808 5106810011S
104.7203 31.5569 5107040003S
105.5094 30.6306 5109030023S
105.5297 30.6239 5109030024S
105.4917 30.4233 5109030030S
105.68 30.27 5109040013S
105.44 30.6497 5109230010S
105.36 30.54 5109230020S
106.46 31.2289 5113230001S
106.4575 31.0494 5113230006S
106.6633 30.9008 5113230007S
106.4469 31.1031 5113230007S
106.4289 31.2039 5113230019S
105.7828 30.9389 5113250003S
105.9672 31.1433 5113250023S
105.9911 31.0019 5113250017S
105.8875 31.1236 5113250024S
104.1911 30.3592 5101220038S
104.1908 30.3597 5101220039S
104.885 29.3469 5103110001S
104.2958 30.5094 5101120012S
104.2581 30.4953 5101120016S
104.2686 30.5022 5101120032S
104.3553 30.61 5101120279S
104.4422 30.6186 5101120281S
104.2081 29.2592 5103030002S
104.6183 28.145 5115270010S
105.5656 28.0617 5105240007S
104.475 31.3056 5106260017S
104.4578 30.9769 5106810012S
105.3942 31.2236 5107230006S
105.4018 31.1294 5107230014S
105.8147 32.6856 5108120002S
105.7889 31.0358 5113250031S
105.7847 31.1564 5113250050S
105.7717 30.975 5113250057S
103.6089 29.2906 5111110005S
103.1256 29.3314 5111130001S
103.0842 29.2453 5111130006S
